User,Followers,Following
emelinelemcc,['trcksbeforefood'],['trcksbeforefood']
phillipwinter,['bmi'],[]
alicegoldberg,"['jortizluis', 'petrasfather', 'christinamcc', 'arigolin', 'chasemayo', 'audioelis', 'clarezad', 'ekwalsh', 'natekrieger', 'arpp', 'gfgarcia', 'jjlev', 'jcicco', 'bigal2001', 'kiranewmark', 'theomatza', 'keithc12', 'jsnyder19', 'drac_ula', 'minujun', 'kim12601', 'jhcarey', 'gmb', 'megwest', 'babehoward', 'akacatalina']","['christinamcc', 'petrasfather']"
mileshession,"['bobbaroo32', 'tashazoey', 'reeceq', 'vocloz']","['bobbaroo32', 'tashazoey', 'reeceq', 'vocloz']"
dartheighter,[],['maddyrussell']
cassiemaee,['eliotpr'],['eliotpr']
juliangerace,['maddyrussell'],['maddyrussell']
sarahgoldsteen,"['noahschifrin', 'jamesfeinberg', 'ogaustinr', 'kgoggz', 'blayko', 'wjacobson124', 'cbkr', 'gabefriedin', 'emaculit', 'amani_marshall']","['jamesfeinberg', 'noahschifrin', 'kgoggz', 'cbkr', 'jgrund', 'aidunn', 'wjacobson124', 'blayko', 'gabefriedin', 'emaculit', 'sashabaker_', 'ogaustinr', 'amani_marshall']"
p_ersen,"['lilysanders', 'reeceq', 'the_laila', 'tooleyjenna', 'vocloz']","['lilysanders', 'nefelifeyd', 'the_laila', 'tooleyjenna', 'reeceq', 'vocloz', 'jrobinson37']"
stvndrrl,"['emlyblunt', 'tadpaul']","['emlyblunt', 'tadpaul']"
mannyunger,"['noerz', 'ben_mendillo', 'ph03b3', 'dr_louis_sneaky', 'lovshindc', 'ethancrain', 'not_so_sareen', 'johnbell', 'saamnj', 'amygeiger', 'lwgoldstein', 'ateps', 'jesseryan12', 'mpren', 'k_e_l_l_e_n_', 'natekrieger', 'qtucker', 'jakerogers', 'arpp', 'clarezad', 'chabobobby', 'audioelis', 'dmmoore18', 'samchill', 'jeffdup', 'emmasuits', 'nhartman', 'irp1025', 'nathancheng', 'emelia22', 'allisonhsu', 'hyunburger', 'jcicco', 'theomatza', 'lucieplasse', 'litzard']","['noerz', 'ben_mendillo', 'ph03b3', 'ethancrain', 'not_so_sareen', 'johnbell', 'amygeiger', 'saamnj', 'ateps', 'k_e_l_l_e_n_', 'mpren', 'natekrieger', 'lwgoldstein', 'qtucker', 'jakerogers']"
ggarrison,"['obijur', 'chelseaeisen', 'steviemovies', 'antsnmypants', 'hlevine', 'lilililicaplan', 'ivorc', 'davidmovies123', 'blayko', 'jcicco', 'lilyrspar', 'dustintmorris', 'racconarmy', 'jamesfeinberg', 'baizluhrmann', 'csilvermanlloyd', 'hgoodwinpier']","['maheyg', 'hlevine', 'lilililicaplan', 'steviemovies', 'ivorc', 'lilyrspar', 'jcicco', 'blayko', 'davidmovies123', 'dustintmorris', 'jamesfeinberg']"
bolmoney,['vocloz'],['vocloz']
priyanka11,[],[]
juliafischer,['emelia22'],"['theomatza', 'emelia22']"
dpales,"['clarkvan33', 'ppadmanabhan', 'tashazoey']",[]
kevinad,"['asalevite', 'sophgilb', 'nik300', 'tophatattack', 'nellbuech', 'sciolino', 'connello']","['asalevite', 'cinephiles', 'sophgilb', 'nik300', 'tophatattack', 'imsrychrisj', 'connello', 'nellbuech', 'sciolino']"
gretacore,['oliviacrandall'],['oliviacrandall']
taronsairpods,['kangarue'],[]
gabefriedin,"['ogaustinr', 'geoff_minet', 'kgoggz', 'aidunn', 'emaculit', 'blayko', 'wjacobson124', 'sarahgoldsteen', 'amani_marshall']","['kgoggz', 'aidunn', 'geoff_minet', 'emaculit', 'sebivars', 'blayko', 'wjacobson124', 'ogaustinr', 'sarahgoldsteen', 'amani_marshall']"
jgrund,"['sarahgoldsteen', 'mayonnaise69', 'kgoggz', 'cbkr', 'ogaustinr', 'sebivars', 'wjacobson124', 'emaculit', 'amani_marshall', 'aidunn']","['sebivars', 'ogaustinr', 'kgoggz', 'wjacobson124', 'emaculit', 'aidunn']"
missrachel,['alessandrosassi'],['alessandrosassi']
kangarue,"['kiaramaylor', 'rhinorampage', 'optimalaudio', 'bobbaroo32', 'sjkopkow', 'joecorelli', 'isabcl', 'wildcats', 'taronsairpods', 'luciapereira']","['rhinorampage', 'optimalaudio', 'bobbaroo32', 'sjkopkow', 'joecorelli', 'isabcl', 'taronsairpods']"
al3,['tadpaul'],['lorebenjolras']
patrickmm,"['droliviawnophd', 'theomatza']","['droliviawnophd', 'theomatza']"
alampietti,"['jpr405', 'dmmoore18', 'trcksbeforefood', 'ennui_morricone', 'anqiyu', 'bigal2001', 'gusaronson', 'mshooster', 'arip', 'imsrychrisj', 'audioelis', 'irice', 'megwest', 'gmb', 'jjlev', 'akacatalina', 'jrode1105', 'kim12601', 'kaleknndy', 'jcicco', 'alessandrosassi', 'looseygoosey', 'theomatza', 'hanroco', 'minujun', 'chasemayo', 'justinayam', 'kiranewmark', 'anikbernstein', 'dosofsky', 'tophatattack', 'sherwinyu99', 'angelica123', 'drool', 'lucieplasse', 'gabriel_ballard', 'lristov', 'anniening', 'thefrogmam', 'mattgrowly']","['jpr405', 'dmmoore18', 'ennui_morricone', 'anqiyu', 'bigal2001', 'gusaronson', 'mshooster', 'arip', 'audioelis', 'looseygoosey', 'irice', 'megwest', 'gmb', 'jjlev', 'akacatalina']"
racconarmy,"['lepelstat', 'lzwizard', 'saskiacurry', 'lilililicaplan', 'davidmovies123', 'ggarrison', 'lilyrspar', 'baizluhrmann', 'maheyg', 'vgorbaty', 'hgoodwinpier', 'csilvermanlloyd', 'dustintmorris', 'lalith', 'obijur', 'steviemovies', 'poppafignewton', 'ivorc']","['lepelstat', 'lzwizard']"
shanefuller,['hyunburger'],['hyunburger']
petrasfather,"['jortizluis', 'oliviacrandall', 'alicegoldberg', 'christinamcc']",['alicegoldberg']
trcksbeforefood,"['jamesfeinberg', 'clopamelabis', 'jgyrks', 'kdaecher', 'nickyslick', 'sashawertime', 'cmagav', 'srdean', 'ennui_morricone', 'davidmovies123', 'alessandrosassi', 'jackfoxbaum', 'emelinelemcc', 'izzyysami', 'alessio_larios', 'nicolypolyoly', 'hratner', 'elizim', 'asalevite', 'gabe_magee', 'aeren', 'jfab', 'mezzy', 'kiranewmark', 'charlierau', 'sciolino', 'hanroco', 'theomatza', 'anikbernstein', 'dosofsky', 'lemonate17', 'thefrogmam', 'micromaeve', 'hyunburger', 'jjlev', 'imsrychrisj', 'tophatattack', 'alextripp', 'litzard', 'geoff_minet', 'bignasty', 'lepelstat', 'zackhersh', 'wjacobson124', 'trinidad_aryan', '10037105', 'nathancheng', 'dani_atiq']","['jamesfeinberg', 'clopamelabis', 'kdaecher', 'mattgrowly', 'nickyslick', 'sashawertime', 'cmagav', 'alampietti', 'suss_man', 'jrode1105']"
peeveeweevee,"['christchrost', 'thebareminimum']",[]
lukevonholle,['vocloz'],[]
mpren,['mannyunger'],['mannyunger']
jegera,[],[]
rogerebot,['bobbaroo32'],['bobbaroo32']
